objectid,title,display_template,creator,date,degree,thesis_url,thesis_abstract,object_location,subject,format,rights,website
hist_1,"Photographing the Feminine:  Aufseherinnen in Holocaust Photography and Popular Culture, 1944-2018",pdf,"   Long, Brittany   ",2021,Master of Arts  ,https://curve.carleton.ca/64bf7167-90a4-4b0b-96f9-f5f51bc37ad8,"Between 1939 and 1945, National Socialist Germany mobilized upwards of 500,000 female auxiliaries into the German armed forces. Approximately 3,700 of these auxiliaries participated in, and carried out, systemic violence against Nazi concentration camp victims. The female overseers who worked in the Nazi camps consisted of a diverse group of ""ordinary"" women from various backgrounds and individual identity. Post-war discussions established a narrative of 'masculinity' and 'deviancy' surrounding the Aufseherinnen that continues within current public memory. Examining  Holocaust photographs taken by Nazi concentration camp staff and Allied liberation troops this thesis expands current knowledge on the workaday lives of female SS guards (Aufseherinnen).",https://curve.carleton.ca/system/files/etd/64bf7167-90a4-4b0b-96f9-f5f51bc37ad8/etd_pdf/b8472e0b633461c7e88f437bfbbb0d38/long-photographingthefeminineaufseherinneninholocaust.pdf,European History,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a
hist_2,"Divided Kingdom, 561 A Case Study: Communicating Historical Narratives Through Board Games",pdf,"   Cronkite, Maximilian Stewart Hawley  ",2021,Master of Arts  ,https://curve.carleton.ca/89085e66-3030-43c1-9103-6d1ca1413008,"This thesis explores the potential of communicating complex ideas about the past through board games. The thesis will start with exploring and defining its theoretical understanding of historical narratives and procedural rhetoric. Then, the thesis will continue with how other scholars have discussed the role of and potential that games have in the imparting of historical knowledge. Using this established methodology and theory of game-based learning, this thesis will analyze three historical board games for their ability to impart historical understanding. After the analysis of the three case studies this thesis will showcase an annotated version of the rules for the historical board game: Divided Kingdom, 561 which was created for this thesis. In the annotated rulebook, and design journal that follows it, the author elaborates on the game's intention as a pedagogical tool and how it is designed to communicate historical understanding of sixth century Frankish Gaul.",https://curve.carleton.ca/system/files/etd/89085e66-3030-43c1-9103-6d1ca1413008/etd_pdf/8df94051ecaa55acfc4e84fabd4a12a1/cronkite-dividedkingdom561acasestudycommunicatinghistorical.pdf, Medieval; Education,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a
hist_3,"The End of Respectability Politics:  The United States Civil Rights Movement, Liberalism and The Vietnam War",pdf,"   Harewood, Adrian J.  ",2021,Master of Arts  ,https://curve.carleton.ca/d18af26a-3ab1-4c7d-af9e-0b03cad3b31f,"This thesis explores the interplay between the US Civil Rights Movement, the Vietnam War and Liberalism. It examines the positions civil rights leaders and the most significant  civil rights organizations of the 1960s took on the Vietnam conflict, and tries to make sense of their connection to the liberal project. By charting the long history of African Americans' engagement in the US wars and exploring how they were influenced by anti-colonialist/anti-imperialist leaders and movements around the world, I seek to understand what ultimately informed the stances that the most prominent civil  rights actors of the era assumed during the Vietnam conflict and why the war proved to be such a seminal moment for African Americans and their relationship with the state.",https://curve.carleton.ca/system/files/etd/d18af26a-3ab1-4c7d-af9e-0b03cad3b31f/etd_pdf/6fa7f307fff7b72ef61326ded11f4b70/harewood-theendofrespectabilitypoliticstheunitedstates.pdf,United States History; Black History,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a
hist_4,"The South African Information Service and English-Canadian Journalism, 1949-1960",pdf,"   Hagborg Wildey, Susan R.  ",2021,Master of Arts  ,https://curve.carleton.ca/ffb04463-8be4-4ac4-8d00-35a3942004c6,"The Nationalist Government of South Africa, from its first days in office in 1948, was obsessed with its poor image on the world stage. Blaming the foreign press, the Nationalists established a program of propaganda aimed at addressing the issue. Canada was one of nine countries targeted by South Africa's Information Service from 1949. This thesis illustrates the efforts of the Service, operating under the South African Department of Foreign Affairs, to change the narrative of Canadian newspapers about South Africa, and the reaction of the Canadian journalists to those efforts. It examines  how the Service, from its inception until the events following Sharpeville in 1960, confronted journalists at Canada's progressive English language newspapers, and moved against Norman Phillips, a Canadian foreign correspondent reporting from South Africa.",https://curve.carleton.ca/system/files/etd/ffb04463-8be4-4ac4-8d00-35a3942004c6/etd_pdf/4da444cb0c79c700287257af1753ec5c/hagborgwildey-thesouthafricaninformationserviceandenglishcanadian.pdf,Canadian History; African History,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a
hist_5,"Your Most Affectionate Good Sister: Rhetoric, Diplomacy and Self-Presentation in the Letters of Mary, Queen of Scots",pdf,"   Pehora, Bethany Mary  ",2021,Master of Arts  ,https://curve.carleton.ca/8fd65ab5-8208-42db-b856-b033a33d3878,"This research essay examines letters of Mary Stuart, Queen of Scotland, showing her as an accomplished rhetorician. Mary's letters have gone largely unexamined by scholars, despite the new interest in the writing of women in the early modern period. On her letters she used appeals to kinship, emphasis on rank, calls to shared religion and expressions of emotion in order to support specific objectives for her letters. The flexibility and variety of the rhetoric contained within the letters from across her life show Mary to be an accomplished and competent rhetorician. The epistolary exchanges  examined in this thesis were essential in maintaining Mary's diplomatic networks both during her reign and after her abdication. The letters examined in this thesis come from both published collections of Mary's letters from the nineteenth century and from original transcriptions of archival material of letters than have not been previously published or examined.",https://curve.carleton.ca/system/files/etd/8fd65ab5-8208-42db-b856-b033a33d3878/etd_pdf/201e7f57c2dde401bf3ac5d2c9bcd9f2/pehora-yourmostaffectionategoodsisterrhetoricdiplomacy.pdf,European History; Rhetoric and Composition; Gender Studies,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a
hist_6,A Catholic Woman and a Catholic Queen: The Personal Religiosity of Mary Tudor,pdf,"   Newman, Meghan   ",2021,Master of Arts  ,https://curve.carleton.ca/b98131fe-0c7d-4a54-b7d0-3fb3d894a82b,"This thesis provides a detailed analysis of the identifiable aspects of Mary Tudor's personal religious beliefs and practices from childhood to the end of her reign. It carefully examines a variety of evidence including translations done by Mary, book and manuscript dedications written by and to Mary, correspondence, first-hand accounts, Mary's privy purse expenses, her will, and Marian acts and proclamations. This analysis puts Mary's personal religiosity in conversation with her religious policy as queen. Mary demonstrated pious dedication to the Mass and other traditionally Catholic  liturgical elements and nearly unwavering dedication to Rome and the papacy. During her reign Mary and her government promoted a religious policy that was consistent with core aspects of Mary's personal religiosity. This thesis concludes that Mary was not only theologically Catholic and dedicated to the traditional liturgical rites, like her father Henry VIII, but also dedicated to England's ecclesiastical relationship with Rome.",https://curve.carleton.ca/system/files/etd/b98131fe-0c7d-4a54-b7d0-3fb3d894a82b/etd_pdf/5c56bd47b37af18e27cb09699cc587d5/newman-acatholicwomanandacatholicqueenthepersonal.pdf,European History; History of Religion,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a
hist_7,"Deviancy, Sexuality and the Psy-Disciplines at the University of Toronto",pdf,"   Edwards, Matthew Robert Gwilym  ",2021,Master of Arts  ,https://curve.carleton.ca/30302b26-9afe-4d08-a121-65c4cad3d21c,"University pedagogy enabled theorization about sexual deviancy to pass as self-evident knowledge in postwar Canada. By integrating psychological, psychiatric and psychoanalytical textbooks into several programs after the Second World War, the University of Toronto became a unique source of local accreditation for these disciplines' professed knowledge about homosexuality. Clinical education at the university's medical school similarly modelled racist and ableist intake procedures ostensibly evaluating specific homosexuals' capacity to benefit from psychoanalysis. This, coupled with the extensive circulation of psy-disciplinary discourse among students, demonstrates the University of Toronto's local influence as a site of legitimation for medicalized, 'rehabilitative' authority over marginalized communities. This approach would consistently be considered progressive and effective by university-educated, middle-class Canadians throughout the 1940s-1970s. The extensive embrace of 'rehabilitative' ideals in postwar Canada would impact both state violence and the resistance strategies of activist organizations like the University of Toronto Homophile Association.",https://curve.carleton.ca/system/files/etd/30302b26-9afe-4d08-a121-65c4cad3d21c/etd_pdf/9801fecaba80b94982cb09abeb025791/edwards-deviancysexualityandthepsydisciplinesatthe.pdf,Canadian History; Education - History of; History of Science,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a
hist_8,"One Day Stronger:  A Public History Theatrical Experiment about Remembered Sudbury Strikes, 1958-2010",pdf,"   Duthie, Richard   ",2021,Doctor of Philosophy  ,https://curve.carleton.ca/0adcc4f4-c018-4584-a680-f28326828ebc,"This dissertation honours and pays tribute to Sudbury residents and many others for whom labour strikes played a significant role in shaping their lives. Set in the context of a public history theatrical experiment, this study investigates local and community memories pertaining to Sudbury mining strikes in the postwar period from 1958 through to 2010. Archival research and oral history interviews were conducted on major labour strikes in this era and that research was used to script, rehearse, and stage a theatrical play. Interviews with audience members and performers were also conducted at all stages of the process. This process allows the dissertation to consider the perspectives of both performers and audience members, each enacting their roles as producers and consumers of public history. The dissertation also assesses the value of this form of history making, as it relates to the formation of historical consciousness, both then and now, of individuals within the Sudbury community. This study argues that public history as theatre has the potential to provide an effective and affecting means to nurture critical, reflexive historical consciousness both on and off the stage.",https://curve.carleton.ca/system/files/etd/0adcc4f4-c018-4584-a680-f28326828ebc/etd_pdf/681d28de3667dda4769eeb4832f01a05/duthie-onedaystrongerapublichistorytheatricalexperiment.pdf,Canadian History; Theater; Public history,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a
hist_9,"Lest We Commemorate:  Assembling Canadas Great War Centenary, 2014-2018",pdf,"   Lester, Breanna Theresa  ",2021,Doctor of Philosophy  ,https://curve.carleton.ca/712308c9-5cbd-4ff0-bffd-0379f0642a00,"This dissertation studies the commemorative practices of the centenary of the First World War (2014-2018). The centenary occurred within a decade-long commemorative period known as the ""Road to 2017"" (2010-2017) that was itself dedicated to marking the 150th anniversary of Confederation. While participating in commemorations, particularly federally sanctioned ones, is socially and culturally constructed an act of good citizenship, these elements have resulted in scholarship that focusses on nation, nationalism, and collective memory. In contrast, with its focus on practices this dissertation approaches commemoration as labour and its practitioners as history workers. To do so, the dissertation applies assemblage theory and a wide range of methodologies to an archive of Access to Information and Privacy (ATIP) records, interviews with commemoration professionals inside and outside of government, media, and autoethnographic observations. It explores how battlefields were assembled into commemorative landscapes and recognizes both the human and non-human agency involved in those processes. The dissertation then focusses acutely on the day-to-day bureaucratic work involved with designing, enacting, and managing centenary events and practices, and considers the affective nature of that labour on the people who did it. Throughout the chapters, interviews and ATIP records provide unique perspective from inside the various bureaucratic and commemorative assemblages that intersected during the First World War centenary, while autoethnographic fieldwork reveals some of the hidden and unexpected elements of commemorative experiences. This dissertation argues that more scholarly attention should be paid to the practical and logistical components of commemoration. To do so means to better understand what makes commemorations affective, including why accessible and operating toilets can be as important as navigating the political nuances of which flags to display in what order at a centenary ceremony. An attention to practice, furthermore, also makes possible a more generous, empathetic appreciation of a group of often-invisible history workers who, despite often stressful working conditions, sacrificed aspects of their personal lives and wellbeing to execute the important large-scale events that comprised the Canadian centenary experience.",https://curve.carleton.ca/system/files/etd/712308c9-5cbd-4ff0-bffd-0379f0642a00/etd_pdf/c31d7bc7992ac3201fb3447e092d297d/lester-lestwecommemorateassemblingcanadasgreatwar.pdf,Canadian History,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a
hist_10,No Place for Women:  A Graphic Narrative of Fanny Duberlys Crimean War,pdf,"   McGirr, Katelyn Elizabeth  ",2021,Master of Arts  ,https://curve.carleton.ca/d31d8926-da88-4d25-b512-cdbc0a0757aa,"Conceptualized as an academic exercise, this thesis analyzes the layered representation of Fanny Duberly's lived experience during the Crimean War to develop a historical graphic narrative. The subjective choices present in the graphic narrative, titled No Place for Women, erodes the dichotomy between ""fictional"" and ""factual"" storytelling, and advocates for the validity of graphic mediums to represent historical narratives. In doing so it contributes to the visual representation of the Crimean War and gives scholarly attention to the often overlooked wives of British officers who accompanied their husbands to Crimea. By regarding Fanny as a ""worthy"" historical subject this project dispels the patriarchal power structures that oversimplify and obscure our ability to understand the Crimean War. It also provides a preliminary methodological framework for historians interested in alternative narrative structures. Finally, it argues for the fundamental recasting of terms and standards historians use to qualify objective, neutral, and universal history.",https://curve.carleton.ca/system/files/etd/d31d8926-da88-4d25-b512-cdbc0a0757aa/etd_pdf/8f03e63766923153a31b4509988c88c1/mcgirr-noplaceforwomenagraphicnarrativeoffannyduberlys.pdf,European History,application/pdf,"Copyright the author, all rights reserved, unless otherwise indicated.",n/a
